@user she should ask a few native americans what their take on this is.	OFF
@user @user go home you’re drunk!!! @user #maga #trump2020  oncoming_fist  united_states  oncoming_fist  url	OFF
amazon is investigating chinese employees who are selling internal data to third-party sellers looking for an edge in the competitive marketplace. url #amazon #maga #kag #china #tcot	NOT
"@user someone should'vetaken"" this piece of shit to a volcano.  face_with_tears_of_joy """	OFF
@user @user obama wanted liberals &amp; illegals to move into red states	NOT
@user liberals are all kookoo !!!	OFF
@user @user oh noes! tough shit.	OFF
@user was literally just talking about this lol all mass shootings like that have been set ups. it’s propaganda used to divide us on major issues like gun control and terrorism	OFF
@user buy more icecream!!!	NOT
@user canada doesn’t need another cuck! we already have enough #looneyleft #liberals f**king up our great country! #qproofs #trudeaumustgo	OFF
@user @user @user it’s not my fault you support gun control	NOT
@user what’s the difference between #kavanaugh and @user   one of these men admitted to groping a 15 year old girl years ago.  the other is going to be #confirmed to the scj   #demsarefrauds #demsaredone   #walkawaydemocrats2018 #redwave #voteredsaveamerica #trumptrain #maga url	NOT
@user you are a lying corrupt traitor!!! nobody wants to hear anymore of your lies!!! #deepstatecorruption url	OFF
@user @user @user it should scare every american!  she is playing hockey with a warped puck!	NOT
@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user i like my soda like i like my boarders with a lot of ice.	NOT
@user you are also the king of taste	NOT
#maga @user   musical_notes  sing like no one is listening   heart_suit  love like you've never been hurt   check_mark  vote gop when no one is watching   hear-no-evil_monkey   and don't listen to liberals' dirt url	NOT
"5/5: @user the time is right for this house to respond to the concerns of all canadians. four out of five canadians support stronger gun control and with good reason.” #guncontrol #cdnpoli #cdnhist"""	NOT
@user besides jax’s mom and maybe ope he is hands down my favorite he’s like the only good person on the show  face_with_tears_of_joy 	NOT
@user @user @user gun control! that is all these kids are asking for!	OFF
@user @user @user @user lol!!!   throwing the bullshit flag on such nonsense!!  #putuporshutup   #kavanaugh   #maga   #callthevotealready url	OFF
@user @user you are correct.	NOT
@user @user kind of like when conservatives wanna associate everyone to their left as communist antifa members?	OFF
@user @user da fuck is going on people?   there's the men's room and the women's room  pick one and stick w it  thinking_face 	OFF
@user been a willie fan since before most of you were born....love that he is holding a rally with beto.... exactly which fans are furious?  could you give some specifics? url	NOT
@user tbh these days i just don't like people in general i just don't connect with people these days just a annoyance..	OFF
"south korean official: “leaders will discuss specific denuke measures in pyongyang”""  url #tcot #maga #rednationrising"""	NOT
@user @user you can tell he is a hooper too	NOT
@user i feel like he is better chasing the title	NOT
@user @user @user she?  to whom are you referring to?  hillary?  you know what is tiresome?  bernie supporters bashing hillary clinton.  she is an actual democrat who raises money for the democratic party and doesn’t bash them.  she has a positive message.  so who is dividing the left?	OFF
@user glad to see your friends are supporting metis rights as much as you are supporting zionists. url	NOT
@user yes you are but i was asking what is it about the movie ? man_shrugging  eyes 	NOT
the only thing the democrats have is lying and stalling to stop trump from being #president.  what have they done for you lately. #trump #kavanaugh #maga #demsuck	OFF
@user no wonder he is being apologetic and more social these day....	NOT
@user @user @user any updates re ending your blatant #racism as #windrush &amp; #grenfell proves you are  @user @user #alloutpolitics #politicslive #pmqs @user url	NOT
@user @user @user @user @user @user @user @user @user @user @user do you know what’s going to happen now?  i’m going to have to lay in bed and cry while i listen to kelly clarkson. thanks free speech antifa.	NOT
@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user you are not very smart are you? why do you think gen flynn’s sentencing keeps being rescheduled? url	OFF
@user @user @user that's expected if you placate the violent leftists/terrorists. #kavanaughconfirmation #woke	OFF
